date,type,title,sponsor,committees,latest_action,tracker,url
08/10/2021,BILL,"To direct the Secretary of Homeland Security and heads of related agencies to construct and staff passenger rail preclearance facilities in the United States, and for other purposes.","Rep. Higgins, Brian [D-NY-26]", House - Homeland Security; Ways and Means; Transportation and Infrastructure        ,"House - 08/11/2021 Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4998?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=13
08/10/2021,BILL,"To prevent States and local jurisdictions from interfering with the production and distribution of agricultural products in interstate commerce, and for other purposes.","Rep. Hinson, Ashley [R-IA-1]", House - Agriculture; Judiciary        ,"House - 08/10/2021 Referred to the Committee on Agriculture, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4999?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=14
08/10/2021,BILL,"To appropriate funds to carry out certain Appalachian Regional Commission grant programs, and for other purposes.","Rep. Lamb, Conor [D-PA-17]", House - Transportation and Infrastructure; Budget        ,"House - 08/11/2021 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5000?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=15
08/10/2021,BILL,"To authorize the Secretary of the Interior to continue to implement endangered fish recovery programs for the Upper Colorado and San Juan River Basins, and for other purposes.","Rep. Neguse, Joe [D-CO-2]", House - Natural Resources        ,House - 08/10/2021 Referred to the House Committee on Natural Resources. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5001?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=16
08/10/2021,BILL,To revise the composition of the Zoning Commission for the District of Columbia so that the Commission will consist solely of members appointed by the government of the District of Columbia.,"Del. Norton, Eleanor Holmes [D-DC-At Large]", House - Oversight and Reform        ,House - 08/10/2021 Referred to the House Committee on Oversight and Reform. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5002?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=17
08/10/2021,BILL,"To direct the Secretaries of Health and Human Services, Defense, and Veterans Affairs to end American over-dependence on Chinese pharmaceuticals by encouraging the growth of a robust domestic medicine supply chain for generic drugs, to empower the Food and Drug Administration to issue boxed warnings in the case of critical contamination, and for other purposes.","Rep. Posey, Bill [R-FL-8]", House - Energy and Commerce; Armed Services; Veterans' Affairs; Ways and Means        ,"House - 08/10/2021 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Armed Services, Veterans' Affairs, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5003?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=18
08/10/2021,BILL,"To amend the State Department Basic Authorities Act of 1956 to authorize rewards regarding the identification of credible information regarding the origins of COVID-19, and for other purposes.","Rep. Rose, John W. [R-TN-6]", House - Foreign Affairs        ,House - 08/10/2021 Referred to the House Committee on Foreign Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5004?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=19
08/10/2021,BILL,To amend title XX of the Social Security Act to provide grants and training to support area agencies on aging or other community-based organizations to address social isolation among vulnerable alder adults and people with disabilities.,"Rep. Sanchez, Linda T. [D-CA-38]", House - Ways and Means        ,House - 08/10/2021 Referred to the House Committee on Ways and Means. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5005?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=20
08/10/2021,BILL,"To establish a grant program to provide minority business enterprises access to entrepreneurship opportunities, and for other purposes.","Rep. Stevens, Haley M. [D-MI-11]", House - Financial Services; Small Business        ,"House - 08/10/2021 Referred to the Committee on Financial Services, and in addition to the Committee on Small Business, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5006?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=21
08/10/2021,RESOLUTION,"Honoring Mr. Steve Verett for more than 24 years of dedicated service to the cotton industry and to Plains Cotton Growers, Inc.","Rep. Arrington, Jodey C. [R-TX-19]", House - Agriculture        ,House - 08/10/2021 Referred to the House Committee on Agriculture. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/581?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=22
