category,date,title,url
Markups,"Wed, 03/04/2015 - 9:00am","Full Committee Markup - H.R. 1119, H.R. 1156, H.R. 1162, H.R. 1158, H.R. 874",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1119-hr-1156-hr-1162-hr-1158-hr-874
Markups,"Wed, 02/25/2015 - 2:00pm","Full Committee Markup - H.R. 1030 The Secret Science Reform Act of 2015, H.R. 1029 The EPA Science Advisory Board Reform Act of 2015",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1030-secret-science-reform-act-2015-hr-1029-epa-science
Markups,"Tue, 01/27/2015 - 11:00am",Full Committee Business Meeting - Adoption of Committee Rules and Approval of Oversight Plan,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting-adoption-committee-rules-and-approval-oversight
Markups,"Fri, 07/25/2014 - 10:00am","Full Committee Markup - H.R. 2996, the Revitalize American Manufacturing and Innovation Act of 2013",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2996-revitalize-american-manufacturing-and-innovation
Markups,"Tue, 06/24/2014 - 10:00am","Full Committee Markup - H.R. 4012, Secret Science Reform Act of 2014",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4012-secret-science-reform-act-2014
Markups,"Wed, 06/11/2014 - 12:00pm","Subcommitee on Energy Markup - Committee Print of H.R. _______, the “Department of Energy Research and Development Act of 2014”",https://republicans-science.house.gov/legislation/markups/subcommitee-energy-markup-committee-print-hr-department-energy-research-and
Markups,"Wed, 05/28/2014 - 5:00pm","Full Committee Markup - S. 1254, H.R. 4186",https://republicans-science.house.gov/legislation/markups/full-committee-markup-s-1254-hr-4186
Markups,"Thu, 05/08/2014 - 10:00am","**Postponed** Full Committee Markup - S. 1254, Harmful Algal Bloom and Hypoxia Research and Control Amendments Act of 2013",https://republicans-science.house.gov/legislation/markups/postponed-full-committee-markup-s-1254-harmful-algal-bloom-and-hypoxia-research
Markups,"Tue, 04/29/2014 - 1:30pm",Full Committee Markup - H.R. 4412,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4412
Markups,"Wed, 04/09/2014 - 9:00am","Subcommittee on Space Markup - H.R. 4412, the “National Aeronautics and Space Administration Authorization Act of 2014""",https://republicans-science.house.gov/legislation/markups/subcommittee-space-markup-hr-4412-national-aeronautics-and-space-administration
